asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.154), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.628), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.157), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.627), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.627), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.627), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 35.286), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.111), (1294.5, 71.356), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 12.052), (1294.1, 28.209), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 35.627), (1295.0, 13.865), (1295.1, 4.085), (1295.2, 12.077), (1295.3, 1.468), (1295.4, 37.215), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 41.986), (1295.8, 29.582), (1295.9, 8.444)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 70.865), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 26.256), (1294.1, 14.004), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 11.769), (1295.3, 1.648), (1295.4, 20.894), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 29.582), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 70.865), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 26.256), (1294.1, 14.004), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 12.077), (1295.3, 1.648), (1295.4, 39.408), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 29.582), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 70.865), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 26.256), (1294.1, 14.004), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 12.077), (1295.3, 1.648), (1295.4, 39.408), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 21.473), (1294.4, 59.338), (1294.3, 0.209), (1294.2, 26.256), (1294.1, 14.004), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 12.077), (1295.3, 1.468), (1295.4, 39.408), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 55.046), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 12.052), (1294.1, 9.704), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 12.077), (1295.3, 1.648), (1295.4, 39.408), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 55.046), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 25.635), (1294.1, 14.804), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 37.479), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
bids, [(1294.8, 16.155), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 55.046), (1294.4, 7.157), (1294.3, 0.209), (1294.2, 25.635), (1294.1, 14.804), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.626), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.468), (1295.4, 37.479), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
bids, [(1294.8, 16.165), (1294.7, 4.179), (1294.6, 19.034), (1294.5, 55.046), (1294.4, 7.157), (1294.3, 0.393), (1294.2, 25.635), (1294.1, 14.804), (1294.0, 35.448), (1293.9, 47.282), (1293.8, 9.215)]
asks, [(1294.9, 1.708), (1295.0, 60.611), (1295.1, 4.085), (1295.2, 14.007), (1295.3, 1.648), (1295.4, 37.479), (1295.5, 9.838), (1295.6, 20.59), (1295.7, 7.381), (1295.8, 64.176), (1295.9, 8.492)]
